GEOID,City,totalsum_2009,totalsum_2013,totalsum_2014,totalsum_2012,totalsum_2008,totalsum_2010,totalsum_2011,metersum_2009,metersum_2013,metersum_2014,metersum_2012,metersum_2008,metersum_2010,metersum_2011,daytimesum_2009,daytimesum_2013,daytimesum_2014,daytimesum_2012,daytimesum_2008,daytimesum_2010,daytimesum_2011,nighttimesum_2009,nighttimesum_2013,nighttimesum_2014,nighttimesum_2012,nighttimesum_2008,nighttimesum_2010,nighttimesum_2011,overnightsum_2009,overnightsum_2013,overnightsum_2014,overnightsum_2012,overnightsum_2008,overnightsum_2010,overnightsum_2011,weekendsum_2009,weekendsum_2013,weekendsum_2014,weekendsum_2012,weekendsum_2008,weekendsum_2010,weekendsum_2011,weekdaysum_2009,weekdaysum_2013,weekdaysum_2014,weekdaysum_2012,weekdaysum_2008,weekdaysum_2010,weekdaysum_2011,totalsum_2015,totalsum_2016,totalsum_2017,totalsum_2018,metersum_2015,metersum_2016,metersum_2017,metersum_2018,daytimesum_2015,daytimesum_2016,daytimesum_2017,daytimesum_2018,nighttimesum_2015,nighttimesum_2016,nighttimesum_2017,nighttimesum_2018,overnightsum_2015,overnightsum_2016,overnightsum_2017,overnightsum_2018,weekendsum_2015,weekendsum_2016,weekendsum_2017,weekendsum_2018,weekdaysum_2015,weekdaysum_2016,weekdaysum_2017,weekdaysum_2018,policesum_2015,policesum_2017,policesum_2018,streetcsum_2015,streetcsum_2016,streetcsum_2017,streetcsum_2018,policesum_2016
60750203003,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3356,2777,3443,NA,839,580,691,NA,2633,2126,2635,NA,110,107,225,NA,612,544,583,NA,457,437,430,NA,2899,2340,3013,NA,NA,NA,NA,1495,1460,1453,NA,NA
60750102002,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1852,1752,1967,NA,0,0,0,NA,1541,1511,1838,NA,222,179,84,NA,89,61,44,NA,140,112,154,NA,1712,1640,1813,NA,NA,NA,NA,193,201,245,NA,NA
60750257023,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,585,595,NA,2,1,2,NA,612,539,558,NA,15,14,12,NA,27,32,25,NA,24,36,42,NA,632,549,553,NA,NA,NA,NA,512,412,463,NA,NA
60750312013,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1422,1243,976,NA,375,256,164,NA,1379,1201,918,NA,25,22,27,NA,17,18,31,NA,190,142,104,NA,1232,1101,872,NA,NA,NA,NA,750,819,604,NA,NA
60750313012,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,1059,935,NA,0,0,0,NA,970,1015,906,NA,10,20,7,NA,19,24,21,NA,16,32,30,NA,983,1027,905,NA,NA,NA,NA,756,827,713,NA,NA
60750326011,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082,1385,1965,NA,1018,415,797,NA,1913,1234,1741,NA,49,57,55,NA,120,93,169,NA,281,207,291,NA,1801,1178,1674,NA,NA,NA,NA,637,615,673,NA,NA
60750326022,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938,905,910,NA,0,0,0,NA,892,852,868,NA,29,32,23,NA,17,20,19,NA,55,52,47,NA,883,853,863,NA,NA,NA,NA,721,712,702,NA,NA
60750328013,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,1086,884,NA,0,0,0,NA,893,1054,865,NA,13,16,5,NA,14,16,14,NA,28,50,38,NA,892,1036,846,NA,NA,NA,NA,739,881,719,NA,NA
60750329012,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595,720,649,NA,0,0,0,NA,574,689,632,NA,12,17,7,NA,9,13,10,NA,23,24,29,NA,572,696,620,NA,NA,NA,NA,472,598,539,NA,NA
60750329022,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,1016,1036,NA,424,354,411,NA,1030,995,1024,NA,5,14,9,NA,5,7,3,NA,99,97,87,NA,941,919,949,NA,NA,NA,NA,473,562,504,NA,NA
60750330002,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,990,949,943,NA,28,17,31,NA,968,925,910,NA,12,12,22,NA,10,10,10,NA,41,26,40,NA,949,923,903,NA,NA,NA,NA,775,765,729,NA,NA
60750354004,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,949,864,NA,0,0,0,NA,839,923,825,NA,12,10,24,NA,13,16,15,NA,23,35,36,NA,841,914,828,NA,NA,NA,NA,779,842,722,NA,NA
60750426012,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1799,1741,1632,NA,240,181,217,NA,1663,1631,1487,NA,82,71,81,NA,54,39,63,NA,135,147,147,NA,1664,1594,1485,NA,NA,NA,NA,1118,1209,1032,NA,NA
60750426023,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1298,1192,1178,NA,0,0,0,NA,1236,1127,1120,NA,43,29,26,NA,19,36,30,NA,61,64,58,NA,1237,1128,1120,NA,NA,NA,NA,865,797,786,NA,NA
60750478022,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385,1228,1301,NA,269,224,229,NA,1280,1144,1176,NA,41,35,78,NA,62,48,46,NA,143,124,125,NA,1242,1104,1176,NA,NA,NA,NA,792,731,754,NA,NA
60750479013,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,1071,1025,NA,0,0,0,NA,1009,993,943,NA,32,50,38,NA,23,25,43,NA,73,50,76,NA,992,1021,949,NA,NA,NA,NA,844,872,775,NA,NA
60750263021,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537,601,473,NA,0,0,0,NA,334,393,273,NA,3,8,14,NA,200,200,186,NA,11,25,31,NA,526,576,442,NA,NA,NA,NA,464,479,390,NA,NA
60750302021,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438,2017,2501,NA,840,614,777,NA,2345,1926,2247,NA,68,70,214,NA,23,20,40,NA,300,265,255,NA,2138,1752,2246,NA,NA,NA,NA,923,814,833,NA,NA
60750205003,San Francisco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202,1131,1026,NA,0,0,0,NA,1119,1097,966,NA,69,25,38,NA,14,9,22,NA,58,41,25,NA,1144,1090,1001,NA,NA,NA,NA,744,799,796,NA,NA
